Country Name,Sum_of_suicides_no,Sum_of_population
Albania,1970,86992712
Anguilla,2,
Antigua and Barbuda,11,2054919
Argentina,93862,1190237731
Armenia,2422,106743177
Aruba,120,1762045
Australia,80279,644390340
Austria,60179,287309014
Azerbaijan,3366,166488200
Bahamas,107,7715548
Bahrain,463,16753926
Barbados,205,7590791
Belarus,74974,316458426
Belgium,75948,358792221
Belize,352,7056615
Bermuda,91,199400
Bolivia,54,
Bosnia and Herzegovina,3591,42979530
Brazil,250824,5506639748
British Virgin Islands,8,
Brunei Darussalam,123,6897928
Bulgaria,42868,281430358
Cabo Verde,42,452179
Canada,128382,961817783
Cayman Islands,19,76400
Chile,44126,488388531
Colombia,54136,1132467366
Costa Rica,7346,114269988
Croatia,29400,136763191
Cuba,41418,372400833
Cyprus,412,13050990
Czech Republic,51664,313580329
Denmark,15297,184802619
Dominica,54,381700
Dominican Republic,5312,
Ecuador,22595,386497941
Egypt,1206,1290000722
El Salvador,13865,141455231
Estonia,12671,45439196
Falkland Islands (Malvinas),1,
Fiji,304,8187391
Finland,33677,178082258
France,395500,1973574675
French Guiana,264,2845094
Georgia,4971,149149950
Germany,291262,2024875612
Greece,14385,370210805
Grenada,38,2365726
Guadeloupe,583,6726650
Guatemala,8403,329647370
Guyana,3438,18136689
Haiti,28,
Honduras,1072,
Hong Kong SAR,29691,219517900
Hungary,130018,368771868
Iceland,1230,9720411
Iran (Islamic Rep of),7299,214547685
Iraq,3,
Ireland,13960,127657286
Israel,12663,201769321
Italy,157074,2036169804
Jamaica,198,49182628
Japan,937614,4340184444
Jordan,87,
Kazakhstan,123151,489516669
Kiribati,53,831245
Kuwait,1013,64721091
Kyrgyzstan,16436,142701887
Latvia,24861,80935340
Lithuania,42166,111651414
Luxembourg,2367,15014856
Macau,27,346542
Malaysia,939,
Maldives,20,2900246
Malta,587,13000203
Martinique,538,6367160
Mauritius,4062,38578406
Mayotte,6,754088
Mexico,117479,3134137916
Monaco,17,
Mongolia,450,4682880
Montenegro,472,5834863
Montserrat,1,
Morocco,664,
Netherlands,60205,557514968
Netherlands Antilles,107,
New Zealand,16447,120653130
Nicaragua,7613,31742633
Norway,16992,154960487
Occupied Palestinian Territory,58,
Oman,33,8987087
Panama,3691,80689559
Paraguay,5082,144728419
Peru,7711,
Philippines,21330,1547319219
Poland,172562,1307487229
Portugal,28413,345808361
Puerto Rico,10838,122918125
Qatar,576,22097285
Republic of Korea,261730,1354944936
Republic of Moldova,22447,133567888
Reunion,1266,10310470
Rodrigues,43,420404
Romania,72793,784636441
Russian Federation,1500992,4868342820
Saint Kitts and Nevis,25,158000
Saint Lucia,244,4319728
Saint Pierre and Miquelon,5,
Saint Vincent and Grenadines,124,2704244
San Marino,26,330526
Sao Tome and Principe,4,265500
Saudi Arabia,135,
Serbia,24179,126140138
Seychelles,98,1392816
Singapore,11510,107778741
Slovakia,13437,155307192
Slovenia,16805,58977219
South Africa,7321,873130762
Spain,110097,1436877395
Sri Lanka,80747,248810626
Suriname,2492,13222179
Sweden,37800,317219522
Switzerland,26217,249236010
Syrian Arab Republic,417,
Tajikistan,4773,
TFYR Macedonia,3477,45180501
Thailand,129899,1847368111
Trinidad and Tobago,4447,37245888
Tunisia,32,
Turkey,10131,482640582
Turkmenistan,9644,128778418
Turks and Caicos Islands,6,
Ukraine,365170,1521043884
United Arab Emirates,622,36502275
United Kingdom,166314,2116720305
United States of America,1201401,9637475270
Uruguay,14647,100074643
Uzbekistan,44063,609330032
Venezuela (Bolivarian Republic of),29504,640359486
Virgin Islands (USA),113,1960488
Zimbabwe,764,
Grand Total,8026455,63761315943
